的	[白勹丶Ⓨ,rqyy,de_dí_dì]
玿	[王刀口Ⓖ,gvkg,sháo,GBK]
珁	[王一㇙㇈,ggnn,cí,GBK]
珃	[王冂土Ⓖ,gmfg,rǎn,GBK]
珄	[王㇒𤯓Ⓖ,gtgg,shēng,GBK]
珅	[王曰丨Ⓗ,gjhh,shēn,GBK]
珆	[王厶口Ⓖ,gckg,yí_tāi,GBK]
珇	[王冃一Ⓖ,gegg,zǔ_jù,GBK]
珋	[王氏丿卩,gqtb,liǔ,GBK]
珌	[王心丿Ⓣ,gntt,bì,GBK]
珎	[王冖小Ⓨ,gqiy,zhēn,GBK]
珒	[王彐二丨,gvfh,jīn,GBK]
珓	[王六乂Ⓨ,guqy,jiào,GBK]
珔	[王𠂇丨子,gdhb,jiàn,GBK]
珕	[王力力力,glll,lì,GBK]
珖	[王光儿Ⓝ,giqn,guāng,GBK]
珗	[王㇒土儿,gtfq,xiān,GBK]
珘	[王㇒舟Ⓨ,gtey,zhōu,GBK]
珚	[王囗大Ⓨ,gldy,yān,GBK]
珛	[王𠂇冃Ⓖ,gdeg,xiù,GBK]
珜	[王丷羊Ⓗ,gudh,yáng,GBK]
珝	[王羽Ⓖ,gng,xǔ,GBK]
珟	[王冂一夕,gmgq,sù,GBK]
珡	[王王人Ⓤ,ggwu,qín,GBK]
珢	[王彐𧘇Ⓨ,gvey,yín_kèn,GBK]
珣	[王勹日Ⓖ,gqjg,xún,GBK]
珤	[王𠂉山Ⓗ,grmh,bǎo,GBK]
珦	[王㇒冂口,gtmk,xiàng,GBK]
珨	[王人一口,gwgk,xiá,GBK]
珪	[王土土Ⓖ,gffg,guī,GBK]
珫	[王亠厶儿,gycq,chōng,GBK]
珬	[王厂一丿,gdgt,xù,GBK]
珮	[王冂一丨,gmgh,pèi,GBK]
珯	[王土丿匕,gftx,lǎo,GBK]
珰	[王⺌彐Ⓖ,givg,dāng,GBK]
珱	[王⺍女Ⓖ,givg,yīng,GBK]
珳	[王文彡Ⓣ,gyet,wén,GBK]
珴	[王㇒扌丿,gtrt,é,GBK]
珵	[王口王Ⓖ,gkgg,chéng_tǐng,GBK]
珶	[王丷弓丿,guxt,dì_tí,GBK]
珷	[王一戈止,ggah,wǔ,GBK]
珸	[王五口Ⓖ,ggkg,wú,GBK]
珹	[王厂𠃌丿,gdnt,chéng,GBK]
珺	[王彐丿口,gvtk,jùn,GBK]
珻	[王𠂉母Ⓤ,gtxu,méi,GBK]
珼	[王貝Ⓨ,gmy,bèi,GBK]
珽	[王㇒士廴,gtfp,tǐng,GBK]
現	[王目儿Ⓝ,ghqn,xiàn,GBK]
珿	[王口龰Ⓨ,gkhy,chù,GBK]
琀	[王人丶口,gwyk,hán,GBK]
琁	[王𠂉乛龰,gtnh,xuán_qióng,GBK]
琂	[王言Ⓖ,gyg,yán,GBK]
琄	[王口冃Ⓖ,gkeg,xuàn,GBK]
琇	[王禾乃Ⓝ,gten,xiù,GBK]
琈	[王爫子Ⓖ,gebg,fú_fū,GBK]
琋	[王ㄨ𠂇丨,gqdh,xī,GBK]
琌	[王山人㇇,gmwn,líng,GBK]
琍	[王禾刂Ⓗ,gtjh,lí,GBK]
琎	[王二〢辶,gfjp,jīn_jìn,GBK]
琑	[王⺌冃Ⓖ,gieg,suǒ,GBK]
琒	[王夂三丨,gtdh,fēng,GBK]
琓	[王宀二儿,gpfq,wán,GBK]
琔	[王宀一龰,gpgh,diàn,GBK]
琕	[王白丿十,grtf,pín_bǐng,GBK]
琖	[王戈戈Ⓣ,gaat,zhǎn,GBK]
琗	[王亠人十,gywf,cuì_sè,GBK]
琘	[王氏弋日,gqaj,mín,GBK]
琙	[王戈口㇒,gakg,yù,GBK]
琜	[王木人人,gsww,lái,GBK]
琝	[王曰文Ⓨ,gjyy,mín_wén,GBK]
琞	[日月王丶,jegy,shèng_wàng,GBK]
琟	[王亻圭Ⓖ,gwyg,wéi_yù,GBK]
琠	[王冂龷八,gmaw,tiǎn_tiàn_diǎn,GBK]
琡	[王上小又,ghic,shū_chù,GBK]
琣	[王立口Ⓖ,gukg,běng_pěi,GBK]
琤	[王⺈彐㇚,gqvh,chēng,GBK]
琧	[一丨一丶,ghgy,è,GBK]
琩	[王曰曰Ⓖ,gjjg,chāng,GBK]
琫	[王三人丨,gdwh,běng,GBK]
琭	[王彐氺Ⓨ,gviy,lù,GBK]
琯	[王宀ココ,gpnn,guǎn,GBK]
琱	[王冂土口,gmfk,diāo,GBK]
琲	[王三〢三,gdjd,bèi,GBK]
琷	[王丷龵乚,gudn,què,GBK]
琸	[王⺊早Ⓗ,ghjh,zhuó,GBK]
琹	[王王木Ⓤ,ggsu,qín,GBK]
琺	[王氵土厶,gifc,fà,GBK]
琻	[王金Ⓖ,gqg,jīn,GBK]
琽	[王土丿日,gftj,dǔ,GBK]
琾	[王田人Ⓙ,glwj,jiè,GBK]
琿	[王冖車Ⓗ,gplh,hún_huī,GBK]
瑀	[王㇒口丶,gtky,yǔ,GBK]
瑂	[王尸目Ⓖ,gnhg,méi,GBK]
瑃	[王三人日,gdwj,chūn,GBK]
瑄	[王宀一一,gpgg,xuān,GBK]
瑅	[王曰一龰,gjgh,tí,GBK]
瑆	[王曰㇒𤯓,gjtg,xīng,GBK]
瑇	[王龶母Ⓤ,ggxu,dài,GBK]
瑈	[王マ了木,gcbs,róu,GBK]
瑉	[王尸弋曰,gnaj,mín,GBK]
瑊	[王厂一丿,gdgt,jiān,GBK]
瑋	[王ユ丨丨,gnhh,wěi,GBK]
瑌	[王丆冂大,gdmd,ruǎn,GBK]
瑍	[王⺈冂大,gqmd,huàn,GBK]
瑎	[王匕匕白,gxxr,xié_jiē,GBK]
瑏	[王宀八丿,gpwt,chuān,GBK]
瑐	[王丷冃刂,guej,jiǎn,GBK]
瑑	[王彑豕Ⓨ,gxey,zhuàn,GBK]
瑒	[王曰一Ⓡ,gjgr,chàng_yáng_dàng,GBK]
瑓	[王一罒小,ggli,liàn,GBK]
瑔	[王白水Ⓨ,griy,quán,GBK]
瑖	[王亻三又,gwdc,duàn,GBK]
瑘	[王耳阝Ⓗ,gbbh,yé_yá,GBK]
瑝	[王白王Ⓖ,grgg,huáng,GBK]
瑠	[王氏丶田,gqyl,liú,GBK]
瑡	[王亻コ丨,gwnh,shī,GBK]
瑢	[王宀八口,gpwk,róng,GBK]
瑣	[王⺌貝Ⓨ,gimy,suǒ,GBK]
瑤	[王夕𠂉山,gqrm,yáo,GBK]
瑥	[王曰皿Ⓖ,gjlg,wēn,GBK]
瑦	[王亻コ灬,gwno,wǔ,GBK]
瑧	[王三人禾,gdwt,zhēn,GBK]
瑨	[王一卝曰,ggoj,jìn,GBK]
瑩	[火火冖丶,oopy,yíng,GBK]
瑪	[王馬Ⓨ,gcy,mǎ,GBK]
瑫	[王爫臼Ⓖ,gevg,tāo,GBK]
瑬	[氵亠厶丶,iycy,liú,GBK]
瑮	[王覀木Ⓨ,gssy,lì,GBK]
瑯	[王丶彐阝,gyvb,láng,GBK]
瑱	[王十具八,gfhw,tiàn_tián_zhèn,GBK]
瑲	[王人丶口,gwyk,qiāng_cāng,GBK]
瑳	[王丷龵工,guda,cuō_cuǒ,GBK]
瑴	[士冖一又,fpgc,jué,GBK]
瑵	[王又丶虫,gcyj,zhǎo,GBK]
瑸	[王宀斤八,gprw,bīn_pián,GBK]
瑹	[王艹人禾,gawt,tú_shū_tū,GBK]
瑺	[王⺌冖丨,giph,cháng,GBK]
瑻	[王母十貝,gxfm,kūn,GBK]
瑼	[王一曰寸,ggjf,zhuān,GBK]
瑽	[王彳人龰,gtwh,cōng,GBK]
瑿	[匚𠂉大丶,atdy,yī,GBK]
璂	[王卄三土,gadf,qí,GBK]
璄	[王立曰儿,gujq,jǐng_yǐng,GBK]
璅	[王巛曰木,gvjs,zǎo_suǒ,GBK]
璆	[王羽人彡,gnwe,qiú,GBK]
璈	[王龶ク攵,ggqt,áo,GBK]
璉	[王車辶Ⓨ,glpy,liǎn_lián,GBK]
璊	[王廿冂㇏,gamy,mén,GBK]
璌	[王宀一八,gpgw,yín,GBK]
璍	[王艹一十,gagf,yè,GBK]
璏	[王彑一匕,gxgx,zhì_wèi,GBK]
璑	[王𠂉卌灬,grlo,wú,GBK]
璒	[王癶一丷,gwgu,dēng,GBK]
璓	[王艹禾乃,gate,xiù,GBK]
璔	[王丷罒曰,gulj,zēng,GBK]
璕	[王彐工寸,gvaf,xún,GBK]
璖	[王氵匚木,gias,qú,GBK]
璗	[氵曰一丶,ijgy,dàng,GBK]
璘	[王米夕丨,goqh,lín,GBK]
璙	[王大丷小,gdui,liáo,GBK]
璚	[王マ了口,gcbk,qióng_jué,GBK]
璛	[王彐丨丨,gvhh,sù,GBK]
璝	[王口丨貝,gkhm,guī,GBK]
璟	[王曰亠小,gjyi,jǐng,GBK]
璠	[王㇒米田,gtol,fán,GBK]
璡	[王亻圭辶,gwyp,jīn_jìn,GBK]
璢	[王一匚田,ggal,liú,GBK]
璣	[王幺幺丿,gxxt,jī,GBK]
璤	[王一曰心,ggjn,huì,GBK]
璥	[王艹勹攵,gaqt,jǐng,GBK]
璦	[王爫冖夂,gept,ài,GBK]
璪	[王口口木,gkks,zǎo,GBK]
璫	[王⺌冖田,gipl,dāng,GBK]
璬	[王白方攵,gryt,jiǎo,GBK]
璭	[王冖車辶,gplp,guǎn_gùn,GBK]
璮	[王亠囗一,gylg,tǎn,GBK]
璯	[王人一曰,gwgj,huì_kuài,GBK]
環	[王罒一𧘇,glge,huán,GBK]
璱	[王王王丿,gggt,sè,GBK]
璲	[王丷豕辶,guep,suì,GBK]
璳	[王𠂉小貝,grim,tián,GBK]
璴	[王木木龰,gssh,chǔ,GBK]
璵	[王亻二八,gwfw,yú,GBK]
璶	[王彐丨皿,gvhl,jìn,GBK]
璷	[王一冃攵,gget,lú_fū,GBK]
璸	[王宀一貝,gpgm,bīn_pián,GBK]
璹	[王士乛寸,gfnf,shú,GBK]
璻	[王羽亠十,gnyf,zuǐ,GBK]
璼	[王匚丨皿,gahl,lán,GBK]
璽	[一八冂丶,gwmy,xǐ,GBK]
璾	[王亠刀二,gyvf,jì_zī,GBK]
璿	[王⺊冖目,ghph,xuán,GBK]
瓀	[王⻗丆Ⓙ,gfdj,ruǎn,GBK]
瓁	[王艹亻又,gawc,wò,GBK]
瓂	[王艹土皿,gafl,gài,GBK]
瓃	[王田田田,glll,léi,GBK]
瓄	[王士罒貝,gflm,dú,GBK]
瓅	[王幺白木,gxrs,lì,GBK]
瓆	[王斤斤貝,grrm,zhì,GBK]
瓇	[王丆冃夂,gdet,róu,GBK]
瓈	[王禾勹氺,gtqi,lí_li,GBK]
瓉	[王二人貝,gfwm,zàn,GBK]
瓊	[王⺈冂夂,gqmt,qióng,GBK]
瓋	[王六冂辶,gump,tì,GBK]
瓌	[王亠罒𧘇,gyle,guī,GBK]
瓍	[王阝𠂇辶,gbdp,suí,GBK]
瓎	[王一口貝,ggkm,là,GBK]
瓏	[王立冃三,gued,lóng,GBK]
瓐	[王虍七皿,ghal,lú,GBK]
瓑	[王厂禾止,gdth,lì,GBK]
瓓	[王鬥一小,gugi,làn,GBK]
瓔	[王貝貝女,gmmv,yīng,GBK]
瓕	[弓一八丶,xgwy,mí_xǐ,GBK]
瓖	[王亠口𧘇,gyke,xiāng,GBK]
瓗	[王山亻口,gmwk,qióng_wěi_wèi,GBK]
瓘	[王艹口圭,gaky,guàn,GBK]
瓙	[王士乛灬,gfno,dào,GBK]
瓚	[王㇒土貝,gtfm,zàn,GBK]
瓛	[王虍七犬,ghad,huán_yè_yà,GBK]
瓝	[斤厶㇏丶,rcyy,bó,GBK]
瓟	[斤厶㇏巳,rcyn,bó_páo,GBK]
瓡	[土丷十㇏,fufy,zhí_hú,GBK]
瓥	[斤厶丶虫,rcyj,lì,GBK]
瓧	[一㇙丶十,gnyf,shíwǎ_shí,GBK]
瓨	[工一㇙㇈,agnn,xiáng_hóng,GBK]
瓩	[一㇙丶十,gnyf,qiānwǎ_qiān,GBK]
瓪	[一㇙丶又,gnyc,bǎn,GBK]
瓫	[八刀一㇈,wvgn,pén,GBK]
瓬	[方一㇙㇈,ygnn,fǎng,GBK]
瓭	[冖儿一㇈,pqgn,dǎn_dān,GBK]
瓰	[一㇙丶刀,gnyv,fēnwǎ_fēn,GBK]
瓱	[一㇙丶乚,gnyn,máowǎ_máo,GBK]
瓲	[一㇙丶乚,gnyn,túnwǎ_tún_wǎ,GBK]
瓳	[古一㇙㇈,dgnn,hú,GBK]
瓵	[厶口一㇈,ckgn,yí,GBK]
瓸	[一㇙丶日,gnyj,bǎi_wǎ,GBK]
瓹	[口冃一㇈,kegn,juàn_juān,GBK]
瓺	[镸一㇙㇈,dgnn,cháng,GBK]
瓻	[ㄨ𠂇冂㇈,qdmn,chī,GBK]
瓼	[一㇙丶土,gnyf,lǐwǎ_lǐ,GBK]
瓽	[⺌冖口㇈,ipkn,dàng,GBK]
瓾	[禾女一㇈,tvgn,wā_měng,GBK]
甀	[㇒一艹㇈,tgan,zhuì,GBK]
甁	[㇒二丿㇈,tftn,píng,GBK]
甂	[丶尸冂㇈,ynmn,biān,GBK]
甃	[禾火一㇈,togn,zhòu,GBK]
甅	[一㇙丶土,gnyf,líwǎ,GBK]
甆	[丷幺幺㇈,uxxn,cí,GBK]
甇	[火火冖㇈,oopn,yīng,GBK]
甈	[㇒目木㇈,thsn,qì,GBK]
甉	[丷彐亦㇈,uvon,xián,GBK]
甊	[口一口㇈,kgkn,lǒu,GBK]
甋	[六冂古㇈,umdn,dì,GBK]
甌	[匚口口㇈,akkn,ōu,GBK]
甎	[一曰丨㇈,gjhn,zhuān_chuán,GBK]
甐	[米夕ヰ㇈,oqan,lìn,GBK]
甒	[𠂉卌一㇈,rlgn,wǔ,GBK]
甔	[⺈厂八㇈,qdwn,dān,GBK]
甕	[亠糹丿㇈,yxtn,wèng,GBK]
甖	[貝貝一㇈,mmgn,yīng,GBK]
甗	[虍七一㇈,hagn,yǎn,GBK]
甛	[卄二㇒古,aftd,tián,GBK]
甝	[虍七几二,hamf,hán,GBK]
甞	[⺌冖口二,ipkf,cháng,GBK]
甠	[日㇒𤯓Ⓖ,jtgg,qíng,GBK]
甡	[㇒𤯓㇒𤯓,tgtg,shēn,GBK]
產	[文厂㇒𤯓,ydtg,chǎn,GBK]
産	[立丿㇒𤯓,uttg,chǎn,GBK]
甤	[豕㇒𤯓Ⓓ,etgd,ruí,GBK]
甦	[一曰乂𤯓,gjqg,sū,GBK]
甧	[㇒𤯓㇒冃,tgte,shēn,GBK]
甪	[㇒用Ⓚ,tek,lù,GBK]
甮	[勹〃用Ⓙ,qrej,béng_fèng,GBK]
甴	[曰丨Ⓚ,jhk,yóu_zhá,GBK]
甶	[㇒田Ⓓ,tld,fú,GBK]
甹	[由一㇉Ⓑ,mgnb,pīng,GBK]
甼	[田丁Ⓙ,lsj,tǐng_dīng,GBK]
甽	[田川Ⓗ,lkh,zhèn_quǎn,GBK]
甿	[田亠㇗Ⓝ,lynn,méng,GBK]
畁	[由一〢Ⓙ,mgjj,bì_qí,GBK]
畂	[田ク㇏Ⓨ,lqyy,mǔ_liù,GBK]
畃	[曰丨勹丶,jhqy,xún,GBK]
畄	[⺍田Ⓕ,ilf,liú,GBK]
畆	[亠田厶Ⓨ,ylcy,mǔ,GBK]
畇	[田勹冫Ⓖ,lqug,yún,GBK]
畉	[田二人Ⓨ,lfwy,fú,GBK]
畊	[田二〢Ⓗ,lfjh,gēng,GBK]
畍	[田人〢Ⓗ,lwjh,jiè,GBK]
畐	[一口田Ⓕ,gklf,fú_bì,GBK]
畑	[火田Ⓖ,olg,tián,GBK]
畒	[亠田人Ⓨ,ylwy,mǔ,GBK]
畓	[水田Ⓕ,ilf,duō,GBK]
畕	[田田Ⓕ,llf,jiāng,GBK]
畖	[田斤厶㇏,lrcy,wā,GBK]
畗	[亠田Ⓕ,ylf,dá_fú,GBK]
畘	[田冂土Ⓖ,lmfg,nán,GBK]
畝	[亠田ク㇏,ylqy,mǔ,GBK]
畞	[十田ク㇏,flqy,mǔ,GBK]
畟	[田八夂Ⓤ,lwtu,cè_jì,GBK]
畠	[白田Ⓕ,rlf,zāi_zī_tián,GBK]
畡	[田亠𠃊人,lynw,gāi,GBK]
畢	[曰龷十Ⓚ,jafk,bì,GBK]
畣	[人一口田,wgkl,dá,GBK]
畤	[田土寸Ⓨ,lffy,zhì_chóu_shì,GBK]
畧	[田夂口Ⓕ,ltkf,lüè,GBK]
畨	[米田Ⓕ,olf,fān_pān,GBK]
畩	[田亠𧘇Ⓨ,lyey,yī,GBK]
畫	[彐土田一,vflg,huà,GBK]
畬	[人禾田Ⓕ,wtlf,shē_yú,GBK]
畭	[田人禾Ⓨ,lwty,shē_yú,GBK]
畮	[田𠂉母Ⓤ,ltxu,mǔ,GBK]
畯	[田厶八夂,lcwt,jùn,GBK]
異	[田龷八Ⓤ,lawu,yì,GBK]
畱	[一匚〢田,gajl,liú,GBK]
畳	[田冖冃一,lpeg,dié,GBK]
畵	[彐土田凵,vflb,huà,GBK]
當	[⺌冖口田,ipkl,dāng_dàng_dǎng,GBK]
畷	[田又又又,lccc,zhuì_chuò,GBK]
畺	[一田一一,glgg,jiāng_jiàng,GBK]
畻	[田丷大土,ludf,chéng,GBK]
畼	[田曰一Ⓡ,ljgr,chàng,GBK]
畽	[田㇒一土,ltgf,tuǎn,GBK]
畾	[田田田Ⓕ,lllf,léi,GBK]
疀	[巛田一龰,vlgh,chā,GBK]
疁	[田羽人彡,lnwe,liú,GBK]
疂	[田氺冖一,lipg,dié,GBK]
疄	[田米夕丨,loqh,lín_lìn,GBK]
疅	[田一田一,lglg,jiāng,GBK]
疇	[田士乛寸,lfnf,chóu,GBK]
疈	[一口田田,gkll,pì,GBK]
疉	[田田田一,lllg,dié,GBK]
疊	[田田田一,lllg,dié,GBK]
疌	[一彐龰Ⓘ,gvhi,jié_qiè,GBK]
疍	[乛龰曰一,nhjg,dàn,GBK]
疎	[乛止一小,nhgi,shū,GBK]
疐	[十冖田龰,fplh,zhì_dì,GBK]
疓	[疒乃Ⓥ,uev,nǎi,GBK]
疕	[疒匕Ⓥ,uxv,bǐ,GBK]
疘	[疒工Ⓓ,uad,gāng,GBK]
疛	[疒寸Ⓘ,ufi,zhǒu,GBK]
疜	[疒一卜Ⓘ,ughi,xià,GBK]
疞	[疒二㇉Ⓥ,ufnv,xū,GBK]
疢	[疒火Ⓘ,uoi,chèn,GBK]
疦	[疒ユ人Ⓘ,unwi,jué_xuè,GBK]
疧	[疒氏弋Ⓥ,uqav,qí_zhī,GBK]
疨	[疒ヰ㇚丿,uaht,yǎ_xiā_yá,GBK]
疩	[疒九十Ⓚ,uvfk,cuì,GBK]
疪	[疒匕匕Ⓥ,uxxv,bì,GBK]
疭	[疒人人Ⓘ,uwwi,zòng,GBK]
疶	[疒廿㇗Ⓥ,uanv,xuē_xiè,GBK]
疷	[疒氏弋丶,uqay,zhī,GBK]
疺	[疒㇒之Ⓘ,utpi,fá_biǎn,GBK]
疻	[疒口八Ⓘ,ukwi,zhǐ,GBK]
疿	[疒弓〢Ⓚ,uxjk,fèi_féi,GBK]
痀	[疒勹口Ⓓ,uqkd,gōu_jū,GBK]
痁	[疒⺊口Ⓓ,uhkd,shān_diàn,GBK]
痆	[疒尸匕Ⓥ,unxv,niè_nì_niǎn,GBK]
痋	[疒虫Ⓘ,uji,téng_chóng,GBK]
痌	[疒冂一口,umgk,tōng_tóng,GBK]
痎	[疒亠𠃊人,uynw,jiē,GBK]
痏	[疒𠂇冃Ⓓ,uded,wěi_yòu_yù,GBK]
痐	[疒囗口Ⓓ,ulkd,huí,GBK]
痑	[疒夕夕Ⓘ,uqqi,tān_shǐ,GBK]
痓	[疒一厶土,ugcf,zhì_chì,GBK]
痗	[疒𠂉母Ⓤ,utxu,mèi,GBK]
痙	[疒一巛工,ugva,jìng,GBK]
痚	[疒土丿子,uftb,xiāo,GBK]
痜	[疒禾几Ⓥ,utmv,tū,GBK]
痝	[疒犬乚彡,udne,máng,GBK]
痟	[疒⺌冃Ⓓ,uied,xiāo,GBK]
痠	[疒厶八夂,ucwt,suān,GBK]
痡	[疒一冃丶,ugey,pū_pù,GBK]
痥	[疒丷口儿,uukq,duó,GBK]
痩	[疒曰丨又,ujhc,shòu,GBK]
痬	[疒曰勹Ⓡ,ujqr,yì,GBK]
痭	[疒月月Ⓓ,ueed,bēng_péng,GBK]
痮	[疒镸𧘇Ⓘ,udei,zhàng,GBK]
痯	[疒宀ココ,upnn,guǎn,GBK]
痲	[疒木十儿,usfq,má,GBK]
痳	[疒木木Ⓘ,ussi,má_lìn_lín,GBK]
痵	[疒禾子Ⓓ,utbd,jì,GBK]
痶	[疒冂龷八,umaw,tiǎn_diàn_diǎn,GBK]
痷	[疒大曰乚,udjn,ān_yè_è,GBK]
痸	[疒𠂉冂刂,urmj,chì,GBK]
痺	[疒白丿十,urtf,bì,GBK]
痻	[疒氏弋曰,uqaj,mín,GBK]
痽	[疒亻圭Ⓓ,uwyd,duī,GBK]
痾	[疒阝丁口,ubsk,kē_ē,GBK]
瘂	[疒一丨一,ughg,yǎ,GBK]
瘄	[疒龷曰Ⓓ,uajd,cù,GBK]
瘆	[疒厶大彡,ucde,shèn,GBK]
瘇	[疒㇒一土,utgf,zhǒng,GBK]
瘈	[疒三丨大,udhd,zhì_chì_jì,GBK]
瘉	[疒人一刂,uwgj,yù,GBK]
瘋	[疒冂㇒虫,umtj,fēng,GBK]
瘍	[疒曰一Ⓡ,ujgr,yáng,GBK]
瘎	[疒卄三㇗,uadn,chén,GBK]
瘏	[疒土丿曰,uftj,tú,GBK]
瘑	[疒冂㇆口,umnk,guō,GBK]
瘒	[疒冖車Ⓚ,uplk,wén,GBK]
瘓	[疒⺈冂大,uqmd,huàn,GBK]
瘔	[疒艹古Ⓓ,uadd,kù,GBK]
瘖	[疒立曰Ⓓ,uujd,yīn,GBK]
瘚	[疒丷凵人,uubw,jué,GBK]
瘜	[疒㇒目心,uthn,xī_xí,GBK]
瘝	[疒罒Ⓘ,ulii,guān,GBK]
瘞	[疒大人土,udwf,yì,GBK]
瘡	[疒人丶口,uwyk,chuāng,GBK]
瘣	[疒白儿厶,urqc,huì_lěi,GBK]
瘧	[疒虍七一,uhag,nüè_yào,GBK]
瘨	[疒十具八,ufhw,diān_chēn,GBK]
瘬	[疒弓镸𧘇,uxde,zhàng,GBK]
瘮	[疒厶厶彡,ucce,shèn,GBK]
瘯	[疒方𠂉大,uytd,cù,GBK]
瘱	[疒大人心,udwn,yì,GBK]
瘲	[疒彳人龰,utwh,zòng,GBK]
瘶	[疒一口人,ugkw,sòu,GBK]
瘷	[疒一口攵,ugkt,sè,GBK]
瘹	[疒釒勹丶,uqqy,diào,GBK]
瘺	[疒尸雨Ⓘ,unfi,lòu,GBK]
瘻	[疒口一女,ukgv,lòu,GBK]
瘽	[疒廿口𤯓,uakg,qín,GBK]
癁	[疒彳𠂉夂,uttt,fú,GBK]
療	[疒大丷小,udui,liáo,GBK]
癄	[疒亻圭灬,uwyo,qiáo_jiào,GBK]
癅	[疒一匚田,ugal,liú,GBK]
癆	[疒火火力,uool,láo,GBK]
癇	[疒鬥月Ⓓ,uued,xián,GBK]
癈	[疒癶弓又,uwxc,fèi,GBK]
癉	[疒口口十,ukkf,dàn_dān,GBK]
癊	[疒阝人厶,ubwc,yìn,GBK]
癋	[疒一丨心,ughn,hè,GBK]
癎	[疒鬥日Ⓓ,uujd,xián,GBK]
癏	[疒罒一𧘇,ulge,guān,GBK]
癐	[疒人一曰,uwgj,guì_wēi,GBK]
癑	[疒冂龷𧘇,umae,nòng_nóng,GBK]
癒	[疒人一心,uwgn,yù,GBK]
癓	[疒彳山攵,utmt,wēi_wéi,GBK]
癕	[疒亠糹圭,uyxy,yōng,GBK]
癗	[疒⻗田Ⓓ,ufld,lěi,GBK]
癘	[疒艹曰丶,uajy,lì_lài,GBK]
癙	[疒臼㇙㇂,uvnn,shǔ,GBK]
癚	[疒⺈厂言,uqdy,dàn,GBK]
癛	[疒亠囗禾,uylt,lǐn_bǐng,GBK]
癝	[疒亠囗小,uyli,lǐn,GBK]
癟	[疒㇒目艹,utha,biē_biě,GBK]
癠	[疒亠刀二,uyvf,jì,GBK]
癡	[疒匕𠂉龰,uxth,chī,GBK]
癢	[疒丷龵𧘇,uude,yǎng,GBK]
癤	[疒⺮彐卩,utvb,jiē_jié,GBK]
癥	[疒彳山攵,utmt,zhēng_zhèng,GBK]
癦	[疒罒土土,ulff,mèng,GBK]
癧	[疒厂禾止,udth,lì,GBK]
癨	[疒⻗亻圭,ufwy,huò,GBK]
癩	[疒一口貝,ugkm,lài,GBK]
癪	[疒禾龶貝,utgm,jī,GBK]
癬	[疒魚灬羊,uqod,xuǎn,GBK]
癭	[疒貝貝女,ummv,yǐng,GBK]
癮	[疒阝爫心,uben,yǐn,GBK]
癰	[疒巛口圭,uvky,yōng,GBK]
癱	[疒廿口圭,uaky,tān,GBK]
癲	[疒十具貝,ufhm,diān,GBK]
癳	[疒田田小,ulli,luǒ,GBK]
癴	[疒糹言手,uxyr,luán,GBK]
癵	[疒糹言人,uxyw,luán,GBK]
癶	[癶フ丶㇒,wnyt,bō,GBK]
癷	[癶干Ⓙ,wfj,bō_bǒ,GBK]
癹	[癶几又Ⓤ,wmcu,bá,GBK]
発	[癶二儿Ⓑ,wfqb,fā,GBK]
發	[癶弓几又,wxmc,fā,GBK]
癿	[白乚Ⓝ,rnn,qié,GBK]
皀	[白匕Ⓑ,rxb,jí_bī,GBK]
皁	[白十Ⓙ,rfj,zào,GBK]
皃	[白儿Ⓑ,rqb,mào,GBK]
皅	[白巴Ⓝ,rcn,pā_bà,GBK]
皉	[白止匕Ⓝ,rhxn,cǐ,GBK]
皊	[白人丶マ,rwyc,líng,GBK]
皌	[白一木Ⓨ,rgsy,mò,GBK]
皍	[白匕卩Ⓙ,rxbj,jí,GBK]
皏	[白丷廾Ⓗ,ruah,pěng,GBK]
皐	[白氺十Ⓙ,rifj,gāo_yáo,GBK]
皒	[白㇒扌丿,rtrt,é,GBK]
皔	[白曰干Ⓗ,rjfh,hàn,GBK]
皕	[丆日丆日,djdj,bì,GBK]
皗	[白冂土口,rmfk,chóu,GBK]
皘	[白龶冃Ⓖ,rgeg,qiàn,GBK]
皚	[白山一丷,rmgu,ái,GBK]
皛	[白白白Ⓕ,rrrf,xiǎo_jiǎo_pò,GBK]
皜	[白亠冂口,rymk,hào,GBK]
皝	[白王光儿,rgiq,huàng_huǎng,GBK]
皞	[白白大十,rrdf,hào,GBK]
皟	[白龶貝Ⓨ,rgmy,zé,GBK]
皠	[白山亻圭,rmwy,cuǐ,GBK]
皡	[白白氺十,rrif,hào,GBK]
皢	[白土土儿,rffq,xiǎo,GBK]
皣	[白艹一十,ragf,yè,GBK]
皥	[白㇒目十,rthf,hào,GBK]
皦	[白白方攵,rryt,jiǎo,GBK]
皧	[白爫冖夂,rept,ài,GBK]
皨	[白白白土,rrrf,xīng,GBK]
皩	[白王曰儿,rgjq,huàng,GBK]
皪	[白幺白木,rxrs,lì_luò_bō,GBK]
皫	[白广コ灬,ryno,piǎo,GBK]
皬	[白⻗亻圭,rfwy,hé,GBK]
皭	[白爫罒寸,relf,jiào,GBK]
皯	[皮又干Ⓗ,hcfh,gǎn,GBK]
皰	[皮又勹巳,hcqn,pào,GBK]
皳	[十氺丶又,fiyc,qiú,GBK]
皵	[龷日皮又,ajhc,què,GBK]
皶	[木日㇒又,sjgc,zhā,GBK]
皷	[士口丷又,fkuc,gǔ,GBK]
皸	[冖車皮又,plhc,jūn,GBK]
皹	[皮又冖車,hcpl,jūn,GBK]
